"ID1","Topic1","ID2","Topic2","Count"
156432,"0.05",156432,"0.05",8
156431,"13 february",156432,"0.05",14
156226,"2017",156432,"0.05",16
136151,"300",156432,"0.05",16
155950,"amazon cloudwatch",156432,"0.05",8
156246,"aws",156432,"0.05",16
156326,"datapoint",156432,"0.05",16
158462,"entered",156432,"0.05",8
142622,"timestamp",156432,"0.05",8
136354,"unsubscribe",156432,"0.05",8
137427,"1.5",137427,"1.5",12
136389,"2016",137427,"1.5",41
156226,"2017",137427,"1.5",7
158334,"Bryan Starbuck",137427,"1.5",9
156375,"callback",137427,"1.5",6
156235,"cto",137427,"1.5",10
136257,"devkota",137427,"1.5",12
141554,"ids",137427,"1.5",6
140699,"october 19",137427,"1.5",12
156352,"paulus",137427,"1.5",16
156351,"rowell",137427,"1.5",16
158792,"starbuck",137427,"1.5",34
138672,"10 minutes",138672,"10 minutes",8
156226,"2017",138672,"10 minutes",19
137553,"april 1st",138672,"10 minutes",12
156235,"cto",138672,"10 minutes",8
156622,"dob",138672,"10 minutes",8
145452,"eng",138672,"10 minutes",7
140451,"gagan",138672,"10 minutes",10
156296,"incontact",138672,"10 minutes",9
143147,"jira",138672,"10 minutes",6
156352,"paulus",138672,"10 minutes",6
158792,"starbuck",138672,"10 minutes",16
137070,"100",137070,"100",39
152770,"100000",137070,"100",6
148722,"110",137070,"100",6
156266,"1st",137070,"100",29
136389,"2016",137070,"100",94
156226,"2017",137070,"100",24
141774,"2nd half",137070,"100",60
136151,"300",137070,"100",9
151417,"bioinformatics",137070,"100",6
158334,"Bryan Starbuck",137070,"100",16
156235,"cto",137070,"100",25
158262,"database",137070,"100",18
137460,"defaulting",137070,"100",6
136257,"devkota",137070,"100",7
156243,"don’t",137070,"100",40
145452,"eng",137070,"100",84
156328,"etan",137070,"100",16
156249,"feb",137070,"100",88
158780,"firewall",137070,"100",10
140451,"gagan",137070,"100",9
136181,"having",137070,"100",8
136352,"i'd",137070,"100",12
156236,"i’m",137070,"100",15
156296,"incontact",137070,"100",13
156363,"isakov",137070,"100",34
156345,"justin mcdonald",137070,"100",13
136304,"maharjan",137070,"100",8
140756,"march 11",137070,"100",15
156475,"mcdonald",137070,"100",23
137623,"oct",137070,"100",22
156352,"paulus",137070,"100",39
137533,"recruiting",137070,"100",6
156351,"rowell",137070,"100",57
136275,"saroj",137070,"100",25
136566,"shapiro",137070,"100",17
136165,"sidekiq",137070,"100",6
158792,"starbuck",137070,"100",76
138498,"sushil",137070,"100",9
156579,"uwo",137070,"100",6
137070,"100",152770,"100000",6
152770,"100000",152770,"100000",7
141774,"2nd half",152770,"100000",40
145452,"eng",152770,"100000",31
156249,"feb",152770,"100000",40
156475,"mcdonald",152770,"100000",12
156351,"rowell",152770,"100000",6
136566,"shapiro",152770,"100000",6
140143,"10am",140143,"10am",6
156226,"2017",140143,"10am",33
136162,"css",140143,"10am",6
156235,"cto",140143,"10am",16
156328,"etan",140143,"10am",10
137060,"html",140143,"10am",6
156236,"i’m",140143,"10am",7
136388,"iphone",140143,"10am",10
136233,"javascript",140143,"10am",6
143028,"mysql",140143,"10am",6
142180,"postgresql",140143,"10am",6
136086,"ror",140143,"10am",12
136566,"shapiro",140143,"10am",6
158792,"starbuck",140143,"10am",31
156257,"webapp",140143,"10am",9
137070,"100",148722,"110",6
148722,"110",148722,"110",7
136389,"2016",148722,"110",51
158334,"Bryan Starbuck",148722,"110",6
158262,"database",148722,"110",15
156243,"don’t",148722,"110",19
140451,"gagan",148722,"110",7
136181,"having",148722,"110",7
136352,"i'd",148722,"110",11
