,ID1,Topic1,ID2,Topic2,Count
0,136086,ror,136086,ror,17.0
2,136086,ror,136162,css,24.0
3,136086,ror,136180,startups,12.0
5,136086,ror,136233,javascript,24.0
9,136086,ror,136352,i'd,12.0
10,136086,ror,136388,iphone,40.0
11,136086,ror,136389,2016,17.0
15,136086,ror,137060,html,24.0
17,136086,ror,137356,criteria,12.0
18,136086,ror,137529,kirkland,12.0
19,136086,ror,137533,recruiting,12.0
25,136086,ror,140138,11am,12.0
26,136086,ror,140143,10am,12.0
27,136086,ror,140451,gagan,11.0
28,136086,ror,141183,ios,14.0
31,136086,ror,142180,postgresql,24.0
33,136086,ror,143028,mysql,24.0
34,136086,ror,143187,redmond,12.0
40,136086,ror,156175,bellevue,12.0
41,136086,ror,156226,2017,95.0
42,136086,ror,156235,cto,46.0
44,136086,ror,156242,shrestha,9.0
47,136086,ror,156250,startup,12.0
48,136086,ror,156257,webapp,38.0
50,136086,ror,156269,json,7.0
60,136086,ror,158262,database,15.0
61,136086,ror,158334,Bryan Starbuck,16.0
62,136086,ror,158792,starbuck,96.0
63,136086,ror,158793,roshan,10.0
64,136091,honeybadger,136091,honeybadger,21.0
70,136091,honeybadger,136165,sidekiq,8.0
71,136091,honeybadger,136173,skype,7.0
73,136091,honeybadger,136207,backend,6.0
75,136091,honeybadger,136257,devkota,16.0
76,136091,honeybadger,136275,saroj,90.0
77,136091,honeybadger,136304,maharjan,38.0
78,136091,honeybadger,136324,deployed,7.0
79,136091,honeybadger,136389,2016,52.0
85,136091,honeybadger,136879,pokharel,12.0
88,136091,honeybadger,137139,nov,12.0
93,136091,honeybadger,138498,sushil,9.0
95,136091,honeybadger,139147,san francisco ca,34.0
99,136091,honeybadger,139609,aug 24,12.0
101,136091,honeybadger,140565,248,12.0
102,136091,honeybadger,140674,535,14.0
105,136091,honeybadger,141202,aug 25,29.0
106,136091,honeybadger,141236,may 30,9.0
108,136091,honeybadger,141774,2nd half,12.0
112,136091,honeybadger,142939,callbacks,25.0
116,136091,honeybadger,143082,3.0,6.0
118,136091,honeybadger,145452,eng,25.0
123,136091,honeybadger,152591,nirajan,16.0
127,136091,honeybadger,156226,2017,61.0
129,136091,honeybadger,156235,cto,20.0
130,136091,honeybadger,156236,i’m,7.0
132,136091,honeybadger,156243,don’t,17.0
138,136091,honeybadger,156266,1st,21.0
142,136091,honeybadger,156345,justin mcdonald,23.0
143,136091,honeybadger,156351,rowell,11.0
144,136091,honeybadger,156352,paulus,8.0
146,136091,honeybadger,156375,callback,16.0
151,136091,honeybadger,156444,sep,10.0
152,136091,honeybadger,156447,bryon,46.0
154,136091,honeybadger,156475,mcdonald,8.0
159,136091,honeybadger,156633,hii,7.0
162,136091,honeybadger,158262,database,7.0
165,136091,honeybadger,158334,Bryan Starbuck,9.0
166,136091,honeybadger,158780,firewall,10.0
167,136091,honeybadger,158792,starbuck,56.0
169,136095,hostname,136095,hostname,7.0
170,136095,hostname,136257,devkota,6.0
174,136095,hostname,136566,shapiro,6.0
178,136095,hostname,137862,may 1st,42.0
183,136095,hostname,145452,eng,44.0
186,136095,hostname,156226,2017,11.0
191,136095,hostname,156296,incontact,6.0
192,136095,hostname,156328,etan,6.0
194,136095,hostname,156444,sep,8.0
197,136095,hostname,156633,hii,7.0
204,136113,ssh,136113,ssh,16.0
207,136113,ssh,136165,sidekiq,6.0
211,136113,ssh,136275,saroj,19.0
212,136113,ssh,136304,maharjan,8.0
213,136113,ssh,136324,deployed,10.0
214,136113,ssh,136389,2016,63.0
215,136113,ssh,136786,linux,13.0
218,136113,ssh,138498,sushil,15.0
221,136113,ssh,139610,august 24,10.0
223,136113,ssh,140451,gagan,12.0
225,136113,ssh,141202,aug 25,7.0
227,136113,ssh,142185,dns,7.0
233,136113,ssh,148696,capistrano,16.0
235,136113,ssh,151396,jruby,10.0
236,136113,ssh,151417,bioinformatics,7.0
238,136113,ssh,156235,cto,12.0
239,136113,ssh,156242,shrestha,14.0
240,136113,ssh,156243,don’t,30.0
241,136113,ssh,156246,aws,22.0
244,136113,ssh,156269,json,21.0
245,136113,ssh,156301,ddos attack,7.0
246,136113,ssh,156345,justin mcdonald,11.0
247,136113,ssh,156351,rowell,6.0
251,136113,ssh,156579,uwo,7.0
255,136113,ssh,158780,firewall,15.0
256,136113,ssh,158792,starbuck,30.0
257,136113,ssh,158793,roshan,8.0
260,136114,adding,136114,adding,54.0
264,136114,adding,136165,sidekiq,6.0
266,136114,adding,136181,having,9.0
270,136114,adding,136217,endpoint,6.0
271,136114,adding,136218,feedback,8.0
273,136114,adding,136226,linkedin,12.0
275,136114,adding,136257,devkota,28.0
276,136114,adding,136275,saroj,41.0
278,136114,adding,136304,maharjan,19.0
279,136114,adding,136324,deployed,9.0
282,136114,adding,136389,2016,263.0
284,136114,adding,136435,asap,6.0
286,136114,adding,136566,shapiro,35.0
297,136114,adding,137085,sean,15.0
301,136114,adding,137202,clicking,9.0
303,136114,adding,137361,dnc,7.0
305,136114,adding,137519,aug 11,9.0
306,136114,adding,137553,april 1st,15.0
308,136114,adding,137811,i.e,8.0
314,136114,adding,138336,jul 28,14.0
316,136114,adding,138498,sushil,15.0
323,136114,adding,140180,sweeney,6.0
325,136114,adding,140451,gagan,19.0
330,136114,adding,141183,ios,20.0
332,136114,adding,141531,october 11,6.0
333,136114,adding,141554,ids,12.0
334,136114,adding,141774,2nd half,25.0
336,136114,adding,142642,february 15,16.0
339,136114,adding,142874,crm,9.0
347,136114,adding,143414,invision,14.0
349,136114,adding,143483,june 1st,18.0
352,136114,adding,144195,july 28,6.0
354,136114,adding,145235,security,7.0
355,136114,adding,145452,eng,153.0
356,136114,adding,146075,wiki,10.0
359,136114,adding,148510,may 2nd,41.0
365,136114,adding,151417,bioinformatics,8.0
372,136114,adding,156226,2017,82.0
374,136114,adding,156235,cto,40.0
375,136114,adding,156236,i’m,22.0
376,136114,adding,156242,shrestha,125.0
377,136114,adding,156243,don’t,37.0
379,136114,adding,156249,feb,78.0
383,136114,adding,156266,1st,80.0
384,136114,adding,156269,json,18.0
385,136114,adding,156296,incontact,11.0
387,136114,adding,156328,etan,51.0
389,136114,adding,156345,justin mcdonald,29.0
392,136114,adding,156351,rowell,38.0
393,136114,adding,156352,paulus,25.0
396,136114,adding,156375,callback,12.0
404,136114,adding,156466,andrew goldberg,9.0
405,136114,adding,156475,mcdonald,16.0
413,136114,adding,156579,uwo,9.0
414,136114,adding,156622,dob,11.0
417,136114,adding,156830,dec,10.0
420,136114,adding,157629,april 2nd,23.0
423,136114,adding,158334,Bryan Starbuck,35.0
424,136114,adding,158462,entered,10.0
425,136114,adding,158780,firewall,10.0
426,136114,adding,158792,starbuck,193.0
430,136119,fyi,136119,fyi,21.0
432,136119,fyi,136173,skype,7.0
439,136119,fyi,136275,saroj,64.0
440,136119,fyi,136304,maharjan,25.0
442,136119,fyi,136389,2016,12.0
455,136119,fyi,139147,san francisco ca,35.0
458,136119,fyi,139609,aug 24,12.0
461,136119,fyi,140565,248,13.0
462,136119,fyi,140674,535,15.0
465,136119,fyi,141202,aug 25,29.0
470,136119,fyi,142930,timeout,6.0
471,136119,fyi,142939,callbacks,25.0
472,136119,fyi,143317,may 17,6.0
486,136119,fyi,156226,2017,71.0
487,136119,fyi,156235,cto,17.0
491,136119,fyi,156296,incontact,8.0
492,136119,fyi,156328,etan,10.0
494,136119,fyi,156345,justin mcdonald,6.0
496,136119,fyi,156351,rowell,24.0
497,136119,fyi,156352,paulus,15.0
498,136119,fyi,156375,callback,16.0
502,136119,fyi,156447,bryon,49.0
510,136119,fyi,158334,Bryan Starbuck,11.0
511,136119,fyi,158792,starbuck,43.0
513,136142,facebook,136142,facebook,38.0
514,136142,facebook,136218,feedback,6.0
515,136142,facebook,136226,linkedin,10.0
516,136142,facebook,136241,blog,11.0
518,136142,facebook,136286,ceo,12.0
521,136142,facebook,136354,unsubscribe,14.0
522,136142,facebook,136389,2016,9.0
527,136142,facebook,136879,pokharel,10.0
530,136142,facebook,137098,anymore,6.0
533,136142,facebook,138900,14th,6.0
534,136142,facebook,139543,san francisco,8.0
536,136142,facebook,140674,535,6.0
538,136142,facebook,141718,the ceo,45.0
543,136142,facebook,143414,invision,15.0
544,136142,facebook,143483,june 1st,50.0
545,136142,facebook,143565,may 10,56.0
549,136142,facebook,148510,may 2nd,6.0
552,136142,facebook,152591,nirajan,10.0
554,136142,facebook,156226,2017,22.0
555,136142,facebook,156235,cto,18.0
556,136142,facebook,156242,shrestha,12.0
557,136142,facebook,156245,rds,11.0
558,136142,facebook,156246,aws,19.0
560,136142,facebook,156261,postgres,9.0
562,136142,facebook,156351,rowell,12.0
564,136142,facebook,156429,messed up,10.0
567,136142,facebook,158334,Bryan Starbuck,18.0
568,136142,facebook,158779,encryption,9.0
569,136142,facebook,158792,starbuck,36.0
571,136145,delivered,136145,delivered,73.0
578,136145,delivered,136257,devkota,12.0
583,136145,delivered,136389,2016,56.0
586,136145,delivered,136566,shapiro,18.0
589,136145,delivered,137202,clicking,9.0
597,136145,delivered,140180,sweeney,6.0
603,136145,delivered,141774,2nd half,14.0
606,136145,delivered,142604,hellosign,8.0
609,136145,delivered,142874,crm,14.0
614,136145,delivered,145452,eng,57.0
615,136145,delivered,146706,twilio,16.0
618,136145,delivered,153316,sftp,59.0
620,136145,delivered,156226,2017,15.0
623,136145,delivered,156242,shrestha,52.0
625,136145,delivered,156249,feb,9.0
626,136145,delivered,156266,1st,45.0
627,136145,delivered,156269,json,11.0
629,136145,delivered,156328,etan,17.0
636,136145,delivered,156355,zendesk,6.0
648,136145,delivered,157629,april 2nd,22.0
650,136145,delivered,158334,Bryan Starbuck,6.0
652,136145,delivered,158792,starbuck,62.0
656,136151,300,136151,300,31.0
658,136151,300,136165,sidekiq,6.0
662,136151,300,136275,saroj,19.0
663,136151,300,136304,maharjan,8.0
664,136151,300,136354,unsubscribe,20.0
665,136151,300,136389,2016,42.0
666,136151,300,136566,shapiro,7.0
672,136151,300,137070,100,9.0
673,136151,300,137623,oct,16.0
676,136151,300,138498,sushil,11.0
681,136151,300,142622,timestamp,20.0
685,136151,300,143483,june 1st,18.0
687,136151,300,145452,eng,26.0
693,136151,300,155950,amazon cloudwatch,20.0
695,136151,300,156226,2017,36.0
696,136151,300,156235,cto,9.0
698,136151,300,156243,don’t,16.0
699,136151,300,156246,aws,45.0
700,136151,300,156249,feb,14.0
702,136151,300,156266,1st,16.0
706,136151,300,156326,datapoint,40.0
707,136151,300,156328,etan,7.0
708,136151,300,156345,justin mcdonald,9.0
709,136151,300,156351,rowell,7.0
711,136151,300,156431,13 february,28.0
712,136151,300,156432,0.05,16.0
723,136151,300,158462,entered,20.0
725,136151,300,158780,firewall,10.0
726,136151,300,158792,starbuck,26.0
727,136162,css,136086,ror,24.0
731,136162,css,136162,css,15.0
