Id,Topic
1,Navi
2,Cryptocurrency
3,Entrepreneurship
4,Security
5,Spider Graph
6,Email Parser
7,Development
8,Billing
9,Zendledger
10,Exchange
11,Fair market Price
12,Wallet
13,Funding
14,Soft Skill
15,Psychological makeup
16,Start Up
17,Encryption
18,Firewall
19,Authorization
20,Anti virus
21,Cluster
22,Quadrant
23,K Means
24,Navigation
25,Wikipedia Topics
26,IMAP
27,Local Lock Box
28,S3
29,Go Lang
30,Ruby on Rails
31,React JS
32,R Programming
33,Invitation
34,Stripe
35,Business Plan
36,Free Trial
37,Gain calculation
38,Test Sheet
39,8489 Form
40,Audit packet
41,Binance
42,GDAX
43,Coinbase
44,Phoenix
45,Coin API
46,CryptoCompare
47,BitcoinCharts
48,Cryptonator
49,Exodus
50,Jaxx
51,Coinfy
52,CoinSpace
53,CTO
54,Company Takeover
55,Part time
56,Meetup
57,Communication
58,Work ethic
59,Teamwork
60,Integrity
61,Risk Taker
62,Global Leadership
63,Strategic Development
64,Motivation
65,Prototype Development
66,Silicon Valley
67,Business model
68,Scalability
69,SHA
70,MD5
71,WAP
72,WEP
73,Gateway
74,Packet filter
75,IPtables
76,Whitelist
77,Token Based
78,Oauth
79,Multi Factor
80,Cookie
81,Trojan horse
82,Kaspersky
83,Window defender
84,Quarantine
