"","Navi","Cryptocurrency","Entrepreneurship","Security","Spider Graph","Email Parser","Development","Billing","Zendledger","Exchange","Fair market Price","Wallet","Funding","Soft Skill","Psychological makeup","Start Up","Encryption","Firewall","Authorization","Anti virus","Cluster","Quadrant","K Means","Navigation","Wikipedia Topics","IMAP","Local Lock Box","S3","Go Lang","Ruby on Rails","React JS","R Programming","Invitation","Stripe","Business Plan","Free Trial","Gain calculation","Test Sheet","8489 Form","Audit packet","Binance","GDAX","Coinbase","Phoenix","Coin API","CryptoCompare","BitcoinCharts","Cryptonator","Exodus","Jaxx","Coinfy","CoinSpace","CTO","Company Takeover","Part time","Meetup","Communication","Work ethic","Teamwork","Integrity","Risk Taker","Global Leadership","Strategic Development","Motivation","Prototype Development","Silicon Valley","Business model","Scalability","SHA","MD5","WAP","WEP","Gateway","Packet filter","IPtables","Whitelist","Token Based","Oauth","Multi Factor","Cookie","Trojan horse","Kaspersky","Window defender","Quarantine"
"Navi",99720,0,0,0,142380,140580,138780,136980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptocurrency",0,98520,0,0,0,0,0,0,135180,133380,131580,129780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entrepreneurship",0,0,97320,0,0,0,0,0,0,0,0,0,127980,126180,124380,122580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Security",0,0,0,96120,0,0,0,0,0,0,0,0,0,0,0,0,120780,118980,117180,115380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spider Graph",142380,0,0,0,94920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113580,111780,109980,108180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Email Parser",140580,0,0,0,0,93720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106380,104580,102780,100980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Development",138780,0,0,0,0,0,92520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99180,97380,95580,93780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Billing",136980,0,0,0,0,0,0,91320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91980,90180,88380,86580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zendledger",0,135180,0,0,0,0,0,0,90120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84780,82980,81180,79380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exchange",0,133380,0,0,0,0,0,0,0,88920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77580,75780,73980,72180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
