,ID,Count,Topic
0,136086,8,Some Topic
1,136091,20,Some Topic
2,136095,6,Some Topic
7,136113,10,Some Topic
8,136114,46,Some Topic
10,136119,21,Some Topic
14,136142,23,Some Topic
16,136145,71,Some Topic
20,136151,20,Some Topic
26,136162,10,Some Topic
28,136165,10,Some Topic
29,136173,22,Some Topic
32,136180,10,Some Topic
33,136181,68,Some Topic
39,136201,36,Some Topic
41,136207,19,Some Topic
44,136213,14,Some Topic
46,136217,6,Some Topic
47,136218,77,Some Topic
48,136221,9,Some Topic
50,136226,15,Some Topic
52,136228,20,Some Topic
54,136233,10,Some Topic
55,136240,16,Some Topic
56,136241,69,Some Topic
66,136257,165,Some Topic
68,136270,8,Some Topic
70,136275,82,Some Topic
71,136276,19,Some Topic
72,136286,6,Some Topic
73,136297,9,Some Topic
76,136304,75,Some Topic
79,136324,42,Some Topic
80,136326,10,Some Topic
82,136335,6,Some Topic
85,136352,22,Some Topic
86,136354,40,Some Topic
91,136388,9,Some Topic
92,136389,256,Some Topic
93,136394,25,Some Topic
97,136416,10,Some Topic
100,136435,55,Some Topic
103,136447,7,Some Topic
113,136506,7,Some Topic
114,136509,9,Some Topic
115,136510,12,Some Topic
118,136520,15,Some Topic
120,136526,7,Some Topic
126,136566,171,Some Topic
128,136575,10,Some Topic
135,136621,9,Some Topic
139,136654,10,Some Topic
145,136685,6,Some Topic
150,136716,11,Some Topic
154,136751,7,Some Topic
160,136786,8,Some Topic
164,136809,10,Some Topic
166,136821,68,Some Topic
167,136824,7,Some Topic
171,136879,55,Some Topic
185,136989,7,Some Topic
197,137060,9,Some Topic
198,137070,30,Some Topic
201,137085,6,Some Topic
204,137098,14,Some Topic
209,137111,6,Some Topic
213,137139,32,Some Topic
215,137143,7,Some Topic
226,137171,7,Some Topic
229,137202,25,Some Topic
235,137253,8,Some Topic
243,137356,9,Some Topic
245,137361,17,Some Topic
246,137369,11,Some Topic
248,137427,6,Some Topic
254,137460,6,Some Topic
258,137487,13,Some Topic
263,137519,6,Some Topic
266,137529,8,Some Topic
267,137533,8,Some Topic
269,137553,18,Some Topic
274,137623,27,Some Topic
291,137778,12,Some Topic
293,137811,12,Some Topic
303,137862,18,Some Topic
309,137901,13,Some Topic
312,137960,10,Some Topic
315,137975,8,Some Topic
327,138138,10,Some Topic
337,138264,7,Some Topic
